id,title,company_name,location,link,image_url,salary_min,salary_max,published_date_parsed,metadata
ce8d121a-8f2e-428c-af2f-bcd6e755e927,Performance Marketing Senior Specialist,castlery,"Singapore, Singapore",https://www.techinasia.com/jobs/ce8d121a-8f2e-428c-af2f-bcd6e755e927,https://cdn.techinasia.com/data/images/1d19fa7bf3b8c7a5e63d9c3f08667cbd.jpg,,,,"Marketing & PR,Interior & Home Design, General B2C/C2C,Full-time"
493e038c-a71c-4b22-b641-5792b930fe1e,Junior DevOps Engineer,netvirta,"Singapore, Singapore",https://www.techinasia.com/jobs/493e038c-a71c-4b22-b641-5792b930fe1e,https://cdn.techinasia.com/data/images/TSlltDbkzW71stouUK91px3tLQpZpxlTUIJipJfE.png,,,,"DevOps & Cloud Management,Software,Full-time"
272deb72-0cd3-4225-bde0-0438ff432ac3,Backend Software Engineer,happy hour games,"Singapore, Singapore",https://www.techinasia.com/jobs/272deb72-0cd3-4225-bde0-0438ff432ac3,https://cdn.techinasia.com/data/images/3uU2BrG7OasleFAPZsE4votYFGtR9hzGJ9DWG5ec.jpeg,,,,"Software Engineer,Mobile Games,Full-time"
839bd17f-bc21-4fd9-9c5c-2f5e34494f77,Sales Lead (API),coingecko,"Singapore, Singapore",https://www.techinasia.com/jobs/839bd17f-bc21-4fd9-9c5c-2f5e34494f77,https://cdn.techinasia.com/data/images/fabadab609ede5dc9ff76561ed0376bc.jpg,,,,"Sales & Business Development,Bitcoin,Full-time"
9084ffbb-f53d-4d9c-a273-7a08bfc7c86c,Head of Pre Sales,rightship,"Singapore, Singapore",https://www.techinasia.com/jobs/9084ffbb-f53d-4d9c-a273-7a08bfc7c86c,https://cdn.techinasia.com/data/images/vpioqHsCghDsk3K2VUYb8rfiMANsJiWiy3pCC29y.png,,,,"Sales & Business Development,Big Data,Full-time"
070087a2-679b-4f65-beff-41df41873c19,Sr. Security Solutions Architect,splunk,"Singapore, Singapore",https://www.techinasia.com/jobs/070087a2-679b-4f65-beff-41df41873c19,https://cdn.techinasia.com/data/images/AgiuiIPOXcJU4UKrESI8fUrs72OqyG7jWv7GepLf.jpeg,,,,"Software Engineer,Software,Full-time"
cdc78076-5cee-4429-907e-757bd39f8e5e,Senior Staff Enterprise Architect,nutanix,"Singapore, Singapore",https://www.techinasia.com/jobs/cdc78076-5cee-4429-907e-757bd39f8e5e,https://cdn.techinasia.com/data/images/QZe3OmgjizmnqVrbNLlfD0mvHGGGP5GX6XrUoL9n.jpeg,,,,"DevOps & Cloud Management,SaaS,Full-time"
ea9ac328-4dd9-4bdf-9499-a07ef40058ad,Senior Full Stack Engineer,k-id,"Singapore, Singapore",https://www.techinasia.com/jobs/ea9ac328-4dd9-4bdf-9499-a07ef40058ad,https://cdn.techinasia.com/data/images/e58guDXME92dRGtB8uyPx3gpey23PlOEXK8wBtam.jpeg,,,,"Software Engineer,Cyber Security,Full-time"
d8c00c48-c2ae-468c-9576-1b2695eb7fe5,Engagement Manager - Advance Analytics,fractal analytics,"Singapore, Singapore",https://www.techinasia.com/jobs/d8c00c48-c2ae-468c-9576-1b2695eb7fe5,https://cdn.techinasia.com/data/images/ns7ZcR8uBmu3zhaV1Yx0iy2QtX94jTAJMvrtHLkF.jpeg,,,,"Strategy & Consulting,Business Analytics,Full-time"
29a46fcd-b630-4320-bc92-060dfc1f6c73,"Senior Director, Marketing, SEA",warner bros. entertainment,"Singapore, Singapore",https://www.techinasia.com/jobs/29a46fcd-b630-4320-bc92-060dfc1f6c73,https://cdn.techinasia.com/data/images/5c2k60jUr65gBpE5uKoqY14D5XTCaQ4RVIUM9jlV.jpeg,,,,"Marketing & PR,Entertainment Industry,Full-time"
86b6f07f-5893-4487-be24-dbbc269962d3,"Associate/Senior Associate, Campaign",klook (客路旅行),"Singapore, Singapore",https://www.techinasia.com/jobs/86b6f07f-5893-4487-be24-dbbc269962d3,https://cdn.techinasia.com/data/images/TlHiec2et7F9PmtVDhrx8jb8tGFbkolheMYAbxQR.png,,,,"Marketing & PR,Travel & Tourism,Full-time"
